tolerate|宽容, 容许, 有耐力
turmoil|骚动, 混乱
turnover|翻倒, 翻转, 半圆酥饼, 营业额,…
twinkle|闪烁, 闪耀, 瞬息
typhoon|台风
typical|典型的, 象征性的
ultimate|终极, 根本, 顶点, 基本原则
ultraviolet|紫外线的
unanimous|意见一致的, 无异议的
uncover|揭露, 揭开, 暴露, 脱帽致敬
underestimate|低估
undergo|遭受, 经历, 忍受
undergraduate|大学本科生, 大学肄业生
underlie|位于...之下, 成为...的基础
underline|在...下面划线, 作...的衬里,…
underlying|在下面的
undermine|在...下面挖, 渐渐破坏, 暗地里破坏
underneath|在下面
understand|理解, 了解, 领会, 听说, 懂
undertake|试图, 从事, 保证, 承担, 同意…
undo|解开, 取消, 破坏, 毁灭, 扰乱
undoubtedly|无疑, 必定, 确实地
uneasy|心神不安的, 不自在的, 不稳定的,…
unexpected|料想不到的, 突然的, 意外的
unfold|展开, 打开, 披露, 开展, 挑明
unfortunately|恐怕, 不幸的是
unify|统一, 使成一体
unit|单位, 分队, 部队, 单元, 部件…
unity|一致, 联合, 单一(性), 个体
universal|全世界的, 普遍的, 宇宙的, 通用的
unlikely|不太可能的
unload|卸货
up-to-date|直到现在的, 最近的, 现代化的
upgrade|上坡, 升级, 上升
uphold|支撑, 赞成, 鼓励, 举起, 坚持
upright|正直的, 诚实的, 公正的, 垂直的…
urgent|紧急的, 急迫的, 催逼的
usage|用法, 使用, 习惯, 惯用法, 习惯法
used|使用过的, 二手的, 习惯的
usually|通常, 大抵
utilise|利用, 运用, 使用
utmost|极限, 最大限度, 极度
utter|全然的, 绝对的, 完全的
vacant|空的, 空白的, 空虚的, 空闲的,…
vaccine|牛痘苗, 疫苗
vacuum|真空, 空间, 真空吸尘器
vague|含糊的, 不清楚的, 茫然的
valid|有确实根据的, 有法律效力的, 正当…
valve|活瓣, 阀, 活门
vanish|消失, 不见, 成为零
vanity|虚荣心, 虚无, 自负, 空虚, 时…
vapor|汽, 蒸气
variable|易变的事物, 变数, 可变物, 变量
variance|不一致, 变化, 变异, 分歧, 不和
variation|变更, 变化, 变种, 变奏
various|不同的, 各种的, 多方面的, 许多…
vary|改变, 使多样化
vase|花瓶, 瓶
vegetarian|素食者, 食草动物
vegetation|植物
vehicle|交通工具, 车辆, 传播媒介
veil|面纱, 面罩, 借口, 幕, 帐, …
vein|血管, 静脉, 纹理, 气质, 情绪
velocity|速度, 迅速
velvet|天鹅绒
ventilate|使空气流通, 使通风, 公开讨论, 公开
venture|冒险, 风险
venue|犯罪地点, 审判地, 发生地点
verb|动词
verbal|用言辞的, 言语的, 口头的, 逐字…
verdict|裁决, 判决, 判断性意见, 定论,…
verge|边缘, 边界, 起始点
verify|证明, 查证, 证实, 检验, 校验
versatile|多才多艺的, 万用的, 万向的
verse|诗, 韵文, 诗句
version|一种描述, 版本, 译文
versus|对...
vertical|垂直的, 直立的
vessel|船, 容器, 脉管
vest|背心, 汗背心
veteran|老手, 退伍军人, 老兵, 老树
veto|否决权
via|经由, 经过, 通过
viable|能养活的, 能生长发育的
vibrate|振动, 颤动, 激动, 摇摆, 踌躇
vice|恶习, 恶行, 罪恶, 堕落, 缺陷…
vicinity|附近, 邻近, 附近地区, 近处
vicious|邪恶的, 堕落的, 品性不端的, 恶…
victim|受害人, 牺牲者, 牺牲品
viewpoint|观点
vigorous|精力充沛的, 元气旺盛的, 茁壮的,…
violate|违犯, 亵渎, 违反, 侵犯, 妨碍
violent|暴力的, 猛烈的, 激烈的, 极端的…
violet|堇菜, 紫罗兰
virgin|处女
virtual|实际上起作用的, 虚的, 实质的, …
virus|病毒, 滤过性病毒, 毒害
visible|看得见的, 明显的, 显然的
vision|视觉, 眼光, 视力, 幻想
visit|拜访, 访问, 游览, 视察
visitor|参观者, 游客, 访客
visual|视觉的
vital|生命的, 重要的, 充满活力的, 生…
vitamin|维生素
vivid|生动的, 鲜明的, 鲜艳的, 活泼的…
vocal|嗓音的, 声音的, 有声的, 歌唱的
vocation|职业, 天命, 天职, 才能, 行业
void|空虚, 空间, 空白, 空隙, 空虚感
volatile|挥发性的, 可变的, 不稳定的, 飞…
volt|伏特
voltage|电压, 伏特数
volume|册, 卷, 体积, 容量, 大量, …
voluntary|自动的, 自愿的, 故意的, 志愿的…
volunteer|志愿者
vote|投票, 选举, 选票, 表决, 选举…
vulgar|粗俗的, 庸俗的, 普通的, 通俗的…
vulnerable|易受伤害的, 有弱点的, 易受影响的…
wage|工资, 报应, 报偿
wagon|四轮马车, 货车
wake|叫醒, 激发
waken|唤醒, 使觉醒, 激发
ward|病房, 守卫, 保卫, 保护, 监护…
wardrobe|衣橱, 衣室, 全部衣服
warehouse|仓库, 货栈, 大商店
warfare|战争, 战斗, 交战, 斗争, 竞争
warrant|授权, 正当理由, 根据, 证明, …
warranty|正当理由, 授权, 担保, 保证, 根据
wary|谨慎的, 小心的, 机警的, 周到的…
wash|洗, 洗涤, 冲洗, 洗的衣服, 冲…
waste|浪费, 废物, 损耗, 消耗, 荒地…
waterfall|瀑布
waterproof|防水材料
watt|瓦(特)
weary|疲倦的, 萎靡的, 厌倦的, 厌烦的
weave|编法, 织法, 编织式样
wedge|楔子, 楔形物, 起因, 导致分裂的东西
weird|怪异的, 超自然的, 不可思议的
welcome|欢迎, 欢迎词
well|井, 泉水, 源泉, 好
whale|鲸
whatsoever|无论什么
whereas|然而, 鉴于
whereby|靠什么, 如何, 为何, 靠那个, …
whip|鞭子, 抽打, 车夫, 搅拌器
whirl|回旋, 旋转, 急走, 眩晕
whisky|威士忌酒, 轻便马车
wholesome|有益健康的, 合乎卫生的, 健全的,…
wholly|完全地, 整个, 统统, 全部
wicked|坏的, 邪恶的, 缺德的, 刻毒的,…
wide|宽的, 广阔的, 普遍的, 宽阔的,…
widow|寡妇, 孀妇
width|宽度, 宽广, 广博
wink|眨眼, 使眼色, 瞬间
wise|明智的, 慎虑的, 聪明的, 博学的…
witch|巫婆, 女巫
withhold|使停止, 扣留, 保留, 拒给
withstand|抵住, 顶住, 经得起
witness|证人, 目击者, 证据, 证词
wonder|奇迹, 惊奇, 惊愕
wonderful|令人惊奇的, 奇妙的, 极好的
wooden|木制的, 呆笨的, 木然的
worker|工人, 劳动者
workout|试验, 试用, 锻炼
workshop|工场, 车间, 研讨会
worry|担心, 烦恼, 忧虑, 苦恼, 撕咬
worship|崇拜, 礼拜, 尊敬
wreck|失事, 残骸, 破坏
wrench|扳钳, 扳手, 扭伤, 歪曲, 痛苦
wrinkle|皱纹, 妙计, 方法, 技巧
writer|作家, 撰稿者, 抄写员
x-ray|X射线的
yell|叫喊, 大叫, (齐声)呐喊欢呼
yield|生产量, 投资收益
youngster|小孩, 年轻人, 少年
yourself|你自己
yourselves|你们自己
youth|年轻, 青年时代, 青年们, 青春
zeal|热心, 热衷, 热诚
zigzag|曲折线条, Z字形道路
zone|地带, 带, 地区
zoom|急速上升, 变焦摄影, 嗡嗡声
