abandon|抛弃，遗弃
anywhere|无论何处
apart|成零碎, 成距离, 分别地, 分离着
apartment|房间, 公寓
apologise|道歉（等于apologize）
apology|道歉, 辩护
appal|使惊骇, 使吓坏
apparatus|装置, 器具, 器官
apparent|明显的，显而易见的
appeal|呼吁，恳求
appear|出现, 显得, 来到
appearance|出现, 露面, 外观, 外表, 出版
appendix|附录, 附加物, 阑尾
appetite|食欲, 欲望, 爱好
applaud|拍手喝彩, 称赞, 赞同
applause|鼓掌, 喝彩, 赞许
appliance|器械, 用具, 应用
applicable|可适用的，可应用的
application|应用, 申请, 志愿书, 应用程序
apply|涂, 应用
appoint|任命, 指定, 下令
appointment|约会, 委任的职位, 委派
appraisal|评价, 估价
appreciate|欣赏
approach|接近, 入门
appropriate|适当的，恰当的
approval|赞成, 批准
approve|赞同, 核准, 为...提供证据
approximate|大约的, 接近的, 近似的
apt|有...倾向的, 易于的, 恰当的,…
arbitrary|任意的，武断的
arch|拱门, 拱形, 足弓
archeology|考古学
architect|建筑师, 设计者, 缔造者
architecture|建筑学, 建筑式样
archive|把...存档
area|区域, 面积, 范围, 空地
arena|角斗场, 舞台, 场地
argue|提出理由, 争论, 辩论
argument|争论, 论证, 论据, 自变量
arise|站立, 出现, 起来
arithmetic|算术, 算术知识
army|军队, 陆军
arouse|唤醒, 鼓励, 引起
arrange|安排, 排列, 达成协议
array|排列, 衣服, 大批, 军队
arrest|逮捕, 监禁
arrival|到达, 抵达, 到达者
arrive|到达, 抵达
arrogant|自大的, 傲慢的
arrow|箭, 箭状物, 箭头记号
artefact|人工制品, 制造物, 人为现象, 膺…
artery|动脉, 干道, 要道
article|文章, 冠词, 物品, 物件, 条款…
articulate|发音清晰的, 口才好的
artificial|人造的, 假的, 非原地产的
artist|艺术家, 画家
artistic|艺术的, 艺术家的, 富有艺术性的
ascend|上升, 追溯, 登高
ascertain|确定, 查明
ascribe|把…归因于
ashamed|惭愧的, 羞耻的
ashore|向岸, 在岸上
aside|小声说的话, 旁白
asleep|睡着的, 长眠的, 麻木的
