merge|使合并, 使消失, 吞没
music|音乐, 乐曲
musician|音乐家, 乐师, 作曲家
mute|哑子, 哑音字母, 弱音器
mutter|喃喃低语
mutual|相互的, 共有的
myself|我自己, 我亲自, 我独自
mysterious|神秘的, 难解的, 不可思议的
mystery|秘密, 神秘, 奥秘
myth|神话, 虚构的事, 虚构的人
naive|天真的, 纯真的, 幼稚的
naked|裸体的, 无装饰的, 无保护的, 赤贫的
namely|即, 就是, 换句话说
napkin|餐巾, 餐巾纸, 尿布
narrative|叙述, 故事
nasty|污秽的, 下流的, 险恶的
nation|国家, 民族
national|国家的, 国立的, 全国性的, 民族的
nature|自然, 大自然, 本性, 性格, 性质
naughty|顽皮的, 没规矩的, 不适当的, 下流的
naval|海军的, 军舰的, 有舰队的
navigation|航行, 航海, 导航
nearby|附近的, 近旁的
nearly|几乎, 密切地
necessitate|迫使, 使成为必需, 需要
necessity|需要, 必需品, 必然
negative|否定, 否定语, 负数, 底片
neglect|疏忽, 忽略, 漏做
negligible|可以忽略的, 不足取的, 无用的
neighborhood|附近, 邻近
neither|皆不, 两个都不
nerve|精神, 勇气, 叶脉, 神经
nervous|神经紧张的, 不安的, 神经的
network|网络, 广播网, 网状物
neutral|中立者, 中立国, 非彩色, 空档
never|从不, 决不, 不曾
nevertheless|然而, 虽然如此
news|新闻, 消息, 报导
nickel|镍, 镍币, 五分镍币
nickname|绰号, 昵称
nightmare|梦魇, 恶梦, 可怕的事物(或情景、…
nitrogen|氮
noise|噪音, 杂音, 响声, 喧闹
nominal|名义上的, 名字的, 有名无实的, …
nominate|提名, 任命, 命名
nonetheless|然而, 尽管, 不过
nonsense|无意义的事, 荒谬言行, 荒唐
norm|基准, 模范, 标准, 准则, 平均数
normalisation|normalise的变形
nostalgic|乡愁的, 怀旧的
notable|著名人士, 值得注意之事物
note|笔记, 记录, 注解, 票据, 符号…
notice|注意, 布告, 通知, 预告, 短评
notify|通知, 通告, 报告
notion|概念, 观念, 想法, 打算, 别致…
notorious|声名狼藉的, 臭名昭著的, 众人皆知的
notwithstanding|虽然, 尽管
noun|名词
nourish|滋养, 使健壮, 怀有
novelty|新奇, 新鲜, 新奇的事物
nowhere|无处, 到处都无
nucleus|核心, 核子, 原子核, 起点
nuisance|讨厌的东西, 讨厌的人, 损害
numerical|数字的, 数值的, 以数字表示的, …
numerous|很多的, 数目众多的, 多数的
nurture|养育, 营养物, 培育
nutrition|营养, 营养学
nylon|尼龙
o'clock|...点钟, 钟头
oath|誓约, 誓言, 咒骂
obedience|服从, 顺从, 忠实
obedient|服从的, 顺从的, 孝顺的
obesity|肥胖
object|物体, 目标, 目的, 对象, 宾语…
objection|异议, 反对, 不喜欢, 缺点, 缺…
objective|目的, 目标, 宗旨, 宾格, 实物
obligation|义务, 责任, 约束, 契约, 恩惠…
oblige|强制, 施恩惠于, 使感激
obscure|模糊的, 昏暗的, 难解的, 晦涩的…
observation|观察, 注意, 观测, 观察力
observe|觉察到, 遵守, 注意到, 庆祝
obsession|困扰, 困扰人的情绪
obsolete|荒废的, 成废物的, 陈旧的, 老式的
obstacle|障碍, 妨害物, 阻碍
obstruct|阻隔, 妨碍, 阻塞, 遮没
obstruction|障碍, 妨碍, 闭塞物
obtain|获得, 达到
occasion|场合, 时机, 机会, 诱因, 理由
occasional|偶然的, 临时的
occupation|职业, 占有, 占有期, 占领, 占领军
occupy|占领, 占(时间、空间等), 住进,…
occur|发生, 被想到, 存在
occurrence|发生, 事件, 出现
odds|可能性, 几率, 机会, 胜算, 不平等
odor|气味, 香味, 名声, 意味
offend|犯罪, 冒犯, 违反, 进攻
offensive|令人不快的, 侮辱的, 攻击性的
offset|抵消, 把...并列, 旁系, 支管…
offspring|子孙, 后代, 产物
often|时常, 常常
okay|好, 可以, 行, 对, 好吗, 很好
omit|省略, 删除, 疏忽, 遗漏
oneself|自己, 亲自
onion|洋葱
opaque|不透明物
opening|开始, 口子, 穴, 揭幕
operational|操作的, 运作的
operator|操作员, 行家, 经纪人, 算子, …
opponent|对手, 敌手, 反对者
opportunity|机会, 时机
oppress|压迫, 压抑, 使烦恼
opt|选择
optical|眼睛的, 视觉的, 光学的
optimistic|乐观的, 乐观主义的, 乐天的
optimum|最适条件, 最佳效果
option|选择权, 挑选, 选项
optional|可选择的, 随意的
oral|口试
orbit|轨道, 常轨, 眼眶
orchard|果园, 果树林
orchestra|管弦乐队, 乐队演奏处
orderly|有秩序的, 整齐的, 值班的
organ|风琴, 器官, 元件, 机构, 机关
organic|器官的, 有机的, 组织的, 根本的
organisation|组织, 团体, 体制, 编制
organise|组织, 有机化, 给予生机
organism|生物, 有机体, 社会组织
orient|东方, 东方诸国
oriental|东方人, 亚洲人
orientation|定方位, 适应, 向东方
origin|起源, 起因, 出身, 开端
original|最初的, 原始的, 有创意的
originate|创始, 发明, 发起
ornament|装饰, 点缀品, 教堂用品
orphan|孤儿
orthodox|正统的, 传统的, 惯常的
ought to|应该
ounce|盎司, 少量, 雪豹
ourselves|我们自己
outbreak|爆发, 暴动
outcome|结果, 出口
outfit|用具, 配备, 机构
outing|郊游, 远足
outlet|出口, 发泄方法, 市场
outline|大纲, 轮廓, 概要
outlook|观点, 景色, 前途, 了望
output|输出, 产品, 产量
outrage|暴行, 侮辱, 愤怒
outset|着手, 开头, 最初
outskirts|近郊, 市郊
outward|向外的, 表面的, 外服的
oven|烤箱, 灶, 子宫
overall|全部的, 全体的, 从头至尾的, 一…
overcome|战胜, 克服, 胜过
overflow|溢值, 超值, 泛滥
overhaul|分解检查, 翻修, 精细检查, 彻底革新
overhead|经常开支, 普通用费, 天花板
overhear|无意中听到, 偷听
overlap|重叠, 重复, 部分的同时发生
overlook|俯瞰, 远眺, 没注意到
overnight|前一天晚上, 一夜的逗留
overseas|海外的, 国外的
overt|明显的, 公然的, 蓄意的
overtake|赶上, 突然降临于, 压倒, 代替
overthrow|推翻, 瓦解, 倾覆
overtime|超时, 加班, 延长时间
overturn|倾覆, 破灭, 革命
overwhelm|淹没, 受打击, 制服, 压倒, 使…
