owing to|由于..., 因为...
poison|毒药, 毒, 毒物, 有毒害的事物
poisonous|有毒的, 恶毒的, 讨厌的
poke|刺, 戳, 袋子
polar|两极的, 极地的, 正好相反的, 极性的
police|警察, 警察当局, 治安
policeman|警察
policy|政策, 方针, 策略, 保险单
Polish|波兰的
poll|投票, 民意测验, 选举投票, 投票…
pond|池塘
ponder|罗马教皇, 主教
porcelain|瓷器, 瓷
porch|门廊, 走廊
portable|可携带的, 可搬运的, 可移动的
porter|大楼管理员, 门房, 搬运工人, 侍…
portfolio|皮包, 公文包, 部长职务, 有价证…
portion|部分, 一份, 命运, 嫁妆
portrait|肖像, 人像, 半身像, 描写, 竖…
portray|描绘, 描写, 描绘...的肖像
pose|姿势, 姿态, 装模作样, 伪装
positive|肯定的, 积极的, 有把握的
possess|持有, 占有, 拥有, 克制, 支配…
possibility|可能性, 可能的事
postage|邮资
poster|海报, 招贴, 驿马
postpone|延迟, 使延期, 缓办, 搁延
posture|姿势, 态度, 情形, 形势
potential|潜在性, 可能性, 潜力, 潜能, …
pottery|陶器, 陶器厂
poultry|家禽
poverty|贫穷, 贫困, 缺乏
power|力, 体力, 力量, 势力, 动力,…
practise|实践, 实行, 练习, 实习, 从事…
practitioner|从业者, 开业者
prayer|祈祷, 恳求, 祷辞, 祈祷者
preach|传道, 讲道, 说教, 宣讲, 鼓吹
precaution|预防, 留心, 警戒
precede|在...之前, 优于, 较...优先
precedent|先例, 前例
preceding|在前的, 前面的
precise|精确的, 严谨的, 明确的
precision|精密, 精确, 精确度, 精度
preclude|预先排除, 预防, 阻止, 妨碍
predator|食肉动物, 掠夺者
predecessor|前任, 先辈, 前身
predict|预知, 预言, 预报
predominant|占主导地位的, 卓越的
preface|序, 绪言, 前言
preferable|更可取的, 更好的, 更合意的
preference|偏爱, 优先, 喜爱物
pregnant|怀孕的, 充满的, 思想丰富的, 成…
prejudice|偏见, 成见, 侵害
preliminary|初步做法, 初步措施, 预试, 预选赛
premier|总理, 首相
premise|前提, 房屋连地基, 上述各项
premium|额外补贴, 奖金, 奖赏, 保险费
preparation|准备, 预备, 预习
preposition|前置词, 介词
prescribe|规定, 指定, 嘱咐, 开处方
prescription|处方, 命令, 指定
presence|出席, 面前, 存在, 仪态, 风度
presently|目前, 不久
preserve|保护, 保持, 保存, 维持, 腌,…
preside|统辖, 当主人, 主持
pressure|压, 榨, 按, 强制, 压力, 压…
prestige|声望, 威望, 威信
presumably|推测上, 大概
presume|假定, 推测, 擅自, 意味着
pretext|借口, 托词
prevail|获胜, 流行, 盛行
prevalent|普遍的, 流行的
previous|早先的, 前面的, 过急的
prey|被掠食者, 牺牲者
priest|祭司, 牧师, 神父, 神质人员, …
primary|最主要者, 原色
prime|最佳部分, 初期, 全盛期
primitive|原始人, 早期艺术家
prince|王子, 亲王, 国君, 贵族, 诸侯…
princess|公主, 王妃, 女巨头
principal|校长, 首长, 本金, 主犯, 资本…
principle|原则, 原理, 主义
prior|更重要的, 较早的, 在先的
priority|优先权, 优先
privacy|隐私, 隐居, 秘密
privilege|特权, 特别恩典, 基本权利, 特免
probability|可能性, 或然率, 几率, 概率
probe|探索, 调查, 探针, 探测器
procedure|程序, 过程, 手续
proceed|继续进行, 进行, 开始, 发出, 起诉
proceedings|诉讼, 事项, 行径, 事件, 活动…
process|程序, 进行, 过程
procession|队伍, 连续, 列队行进, 涌出
proclaim|宣布, 公告, 宣言, 表明, 赞扬
product|产品, 结果, 乘积
productive|能生产的, 有生产价值的, 多产的
productivity|生产力
profession|职业, 表白, 声明
professional|专业人才
proficiency|精通, 熟练, 精练
profile|侧面, 轮廓, 传略
profit|利润, 赢利, 利益
profitable|有利润的, 有利益的, 赚钱的
profound|极深的, 深厚的, 深刻的, 渊博的
program|节目, 节目单, 程序, 纲要, 大…
progress|进步, 发展, 前进
progressive|改革论者, 进步论者
prohibit|禁止, 阻止
project|计划, 设计, 事业
projector|计划人, 发起人, 规划人, 放映机…
prolong|延长, 拖延, 拖长
prominent|卓越的, 显著的, 突出的, 凸出的
