finding|发现, 发现物, 决定, 裁决
grief|伤心, 忧愁, 悲痛, 不幸, 灾难
grieve|使悲伤
grim|冷酷的, 坚强的, 残忍的, 可怕的…
grin|露齿笑
grind|磨, 碾, 苦差, 摩擦声, 用功的学生
grip|紧握, 柄, 握力, 握手方式, 手…
groan|呻吟, 叹息
grope|摸索
gross|总数, 总量
ground|土地, 战场, 场地, 地面, 范围
grown-up|成熟的, 已经成人的
growth|生长, 栽培, 增长
guarantee|担保, 抵押品, 保证书
guess|猜测, 臆测
guidance|指导, 领导
guideline|指导路线, 方针, 指标
guild|团体, 协会, 行业协会
guilt|罪行, 内疚
guilty|犯罪的, 有过失的, 自觉有错的, …
guitar|吉他
gulf|海湾, 深渊, 漩涡, 隔阂
gymnasium|健身房, 体育馆
habitat|栖息地, 居留地, 自生地, 聚集处
hail|冰雹, 致敬, 欢呼, 招呼
halt|停止, 立定, 休息
hamburger|汉堡(德国港口), 肉饼, 汉堡包,…
hamper|食篮, 阻碍物, 食盒
handbook|手册
handful|少数, 一把, 棘手事
handicap|障碍, 困难, 不利条件
handle|柄, 把手, 把柄, 柄状物, 手感
handwriting|笔迹
hang|悬挂, 诀窍, 意义
harassment|困扰, 烦扰, 烦恼
harden|使变硬, 使坚强, 使冷酷
hardly|刚刚, 几乎不, 勉强是
hardship|艰难, 辛苦, 苦难
hardware|硬件, 五金器具, 零件
harmony|协调, 和睦, 调和
harness|马具, 挽具状带子, 甲胄
harsh|粗糙的, 刺耳的, 严厉的
haste|匆忙, 急忙
hasty|匆匆的, 轻率的, 性怠的
hatch|孵化, 舱口
hatred|憎恨, 仇恨, 憎恶
haul|用力拖拉, 拖运, 强拉, 捕获量,…
hawk|鹰, 掠夺者, 鹰派成员
hazard|冒险, 危险, 机会
headline|大标题, 新闻摘要
headquarters|总部, 司令部, 总部人员
heal|痊愈
healthy|健康的, 有益健康的, 卫生的
hearing|听, 听觉, 听讯
heat|热, 热度, 体温, 高潮
heave|举, 抛, 起伏, 鼓起
hedge|树篱, 障碍, 套头交易
heighten|增高, 提高, 加强
heir|继承人, 嗣子, 后嗣
helicopter|直升机
hell|地狱, 邪恶势力, 苦境, 阴间, …
hello|喂, 嘿
helmet|钢盔, 盔, 防护帽
helpful|有帮助的, 有益的, 有用的
hemisphere|半球, 地球的半面, 大脑半球
hence|因此, 从此
henceforth|自此以后, 今后
herald|使者, 传令官, 先驱
herb|药草, 香草
herd|兽群, 人群, 牧人
heritage|遗产, 祖先遗留物, 继承物
