embassy|大使馆, 大使馆全体人员
error|错误, 过失, 失误, 误差
erupt|爆发
escalate|逐步扩大, 逐步升高, 逐步增强
escort|护送者, 护卫者, 护航舰
especially|尤其, 特别, 格外
essay|随笔, 短文, 评论, 企图
essence|实质, 本质, 香精
essential|要素, 要点, 本质
establish|建立, 确立, 制定
estate|不动产, (人生的)阶段, 阶层, 财产
esteem|尊敬, 尊重
esthetic|审美的
estimate|估计, 判断
eternal|永恒的, 永远的, 不灭的
ethic|道德规范, 伦理
ethnic|人种的, 种族的
evacuate|疏散, 撤出, 排泄
evade|(巧妙地)逃脱, 规避, 逃避
evaluate|评估, 评价, 赋值
evaporate|蒸发, 失去水分, 消失
event|事件, 结果, 事情的进程, 竞赛项目
eventually|最后, 终于
ever|曾经, 究竟, 永远
everyday|每天的, 日常的, 平常的
everywhere|各处, 到处
evidence|根据, 证据, 迹象
evident|显然的, 明显的
evil|邪恶, 不幸, 罪恶
evoke|唤起, 引起, 召(魂)
evolution|进化, 发展, 进展, (气体)放出…
evolve|进展, 进化, 展开
exaggerate|夸大, 夸张
examination|考试, 测验, 审查
exceed|超过, 超越, 胜过
exceedingly|极端地, 极度地, 非常
excel|胜过, 优于, 擅长
except|除, 除外
exception|例外, 除外, 异议
exceptional|例外的, 异常的, 特别的
excerpt|摘录
excess|过度, 剩于, 超过, 超额
excessive|过度的, 过多的, 极端的
exchange|交换, (电话)交换局, 交换机, …
excitement|刺激, 兴奋
exclaim|大叫, 呼喊, 大声叫
exclude|除外, 排除, 排斥
exclusive|排外的, 独占的, 唯一的
excursion|远足, 游览圆, 短程旅行
excuse|原谅, 申辩, 做为...的托辞
execute|执行, 实行, 完成, 处死, 制成
executive|执行部门, 执行委员会, 执行者, …
exemplify|例证, 例示
exempt|免税者, 被免除义务者
exercise|行使, 执行, 运动, 练习, 作业
exert|发挥, 运用, 施以影响
exhaust|排气, 排气装置, 废气
exhibit|显示, 显现, 展览品, 陈列品, 展览
exile|放逐, 流放, 被放逐者
exist|存在, 生存, 发生
existence|存在, 生存
exit|出口, 退场, 离去, 去世
exotic|异国的, 外来的
expand|使膨胀, 详述, 扩张
expansion|扩充, 开展, 膨胀
expect|预期, 盼望, 期待
expectation|期待, 指望, 展望
expedition|远征, 探险队, 迅速
expel|驱逐, 逐出, 排出, 开除
expend|花费, 消耗, 用光
expenditure|开支, 费用, 用光, 消费额
expense|费用, 代价, 开支, 损失
expensive|贵的, 奢华的, 费用浩大的, 乱化钱的
expert|专家, 行家
expertise|专家意见, 专门技术
expire|期满, 呼气, 断气
explicit|详述的, 清楚的, 直言的
explode|爆炸, 爆发, 激增
explore|探险, 探测, 探究
explosion|爆发, 激增, 爆炸(声)
explosive|炸药, 爆破音
export|输出品, 输出
expose|使暴露, 使曝光, 揭穿, 陈列
exposure|暴露, 揭发, 揭露
exquisite|精致的, 细腻的, 敏锐的
extend|扩充, 延伸, 伸展, 扩大
extension|延长, 扩充, 范围, 扩展名
extensive|广的, 广泛的, 多方面的
extent|范围, 程度, 区域
exterior|外部, 表面, 外貌
external|外部, 外面
extinct|熄灭的, 灭绝的, 耗尽的
extinguish|熄灭, 使消亡, 压制, 使减色
extra|额外的事物, 另外的收费
extract|榨出物, 精汁, 摘录, 选段
extravagant|奢侈的, 挥霍无度的, 浪费的
extreme|极端, 末端
eyebrow|眉毛
eyesight|视力, 目力
fable|寓言, 神话, 谎言
fabric|织物, 布, 结构, 构造, 建筑物
fabricate|制造, 建造, 装配, 伪造
fabulous|传说的, 寓言般的, 难以置信的
facet|(多面体的)面, 方面, 琢面
facilitate|使容易, 促进, 帮助
facility|容易, 灵巧, 设备
factor|因素, 因数, 系数, 基因, 代理人
factory|工厂, 产生地, 代理店
faculty|才能, 能力, 全体教员, (大学的)系
fade|褪色, 消失, 凋谢
fail|失败, 缺乏, 中断, 衰退, 失灵
failure|失败, 失败者, 不足, 缺乏, 破产
faint|昏厥, 昏倒
fairly|美观地, 公平地, 相当地, 清楚地
fairy|仙女, 精灵
faith|信心, 信任, 忠实, 保证
faithful|忠实的, 详确的, 可靠的
fake|假货, 欺骗, 诡计
fall|落下, 瀑布, 采伐量, 下降, 落…
false|错误的, 虚伪的, 假的, 不老实的
fame|名望, 名声, 传说
family|家庭, 家人, 族
famine|饥荒, 缺乏, 饥饿
famous|出名的, 极好的
fancy|想象力, 幻想, 喜好
fantastic|奇妙的, 稀奇的, 空想的
fantasy|幻想, 想象的产物
fare|费用, 旅客, 食物
farewell|辞别, 再见, 再会
farm|农场, 农田
farmer|农夫, 农场主
fascinate|令人入神, 使着迷
fashion|流行, 风尚, 时样
fashionable|时髦的, 上流社会的, 流行的
fatal|致命的, 重大的, 命运注定的, 粗…
fate|命运, 运气
fatigue|疲乏, 疲劳
faulty|有过失的, 有缺点的, 不完美的, …
favorable|有利的, 赞许的, 良好的
favorite|喜欢的事物, 幸运儿
fearful|可怕的, 恐怕的, 担心的
feasible|能实行的, 可行的, 适宜的
feast|宴会, 酒席, 享受, 节日
feat|壮举, 功绩, 技艺表演
feature|面孔的一部分(如眼、口等), 特征,…
federal|联邦的, 联合的, 同盟的
federation|联邦, 联合, 联盟
feeble|微弱的, 衰弱的, 无效的
feed|饲料, 一餐, 饲养
feedback|反馈, 反应
feeling|摸, 触觉, 知觉, 感觉, 情绪,…
fellowship|伙伴关系, 共同参与, 团体, 奖学…
feminine|女性的, 阴性的, 柔弱的
fence|围墙, 栅栏, 买卖赃物的人, 剑术
ferry|渡船, 渡口
fertile|可繁殖的, 肥沃的, 生产多的
fertiliser|肥料
feudal|封建制度的, 封地的, 领地的
fibre|纤维, 构造, 纤维制品
fiction|小说, 虚构故事
field|领域, 田地, 场地, 战场, 场, 域
fight|打架, 争吵, 斗志
figure|数字, 价格, 图形, 形状
file|档案, 公文箱, 文件夹, 文件, …
fill|装满, 填充, 弥漫, 供给, 满足…
film|软片, 薄膜, 胶卷, 电影
filter|滤波器, 过滤器, 滤光器, 过滤嘴…
finally|最后, 终于
finance|财政, 财务
financial|财政的, 金融的
