investment|投资
loan|贷款, 借出
lobby|大厅, 休息室, 游说议员者
local|地方性的, 当地的, 局部的, 乡土…
locality|地方, 所在, 位置
locate|找出, 设于, 位于
location|位置, 场所, 特定区域
lock|锁, 刹车, 水闸, 一缕头发
locker|抽屉, 小柜, 上锁人
locomotive|火车头, 机车
lodge|小屋, 门房, 支部, 旅舍, 分会
lofty|高的, 傲慢的, 崇高的, 高级的,…
logic|逻辑, 逻辑学, 推理的方法, 推理…
logical|合乎逻辑的, 合理的
longitude|经度, 经线
loom|织布机, 若隐若现的景象
loop|环, 圈, 弯曲部分, 循环
loosen|放松, 松开, 解除
lord|统治者, 阁下, 上帝
lottery|奖券, 彩票, 运气
loud|大声的, 不断的, 喧吵的
lounge|闲逛, 休闲室, 长沙发
lovely|可爱的, 有趣的
lover|爱人, 爱好者
lower|低的, 下级的, 下层的
loyal|忠诚的, 忠实的, 忠贞的
loyalty|忠贞, 忠诚, 忠实
lubricate|使润滑, 涂油
luck|运气, 幸运, 好运, 侥幸
lucky|幸运的, 吉祥的, 好运的, 侥幸的
lucrative|有利益的, 获利的, 合算的
lumber|木材, 破旧家俱, 废物, 隆隆声
lump|块, 瘤, 很多, 肿块, 笨人
lunar|阴历的, 月的, 微亮的(指光)
lunch|午餐
lure|饵, 诱惑
luxury|奢侈, 豪华
lyric|抒情诗, 歌词
machine|机器, 机械装置, 机构, 自动售货…
machinery|机器, 机械装置, 机构
magazine|杂志, 仓库, 弹盒, 胶卷盒
magic|魔术, 魔法
magistrate|长官, 法官, 推事
magnet|磁铁, 有吸引力之人, 有吸引力之物
magnetic|有磁性的, 有吸引力的, 催眠术的
magnificent|华丽的, 高尚的, 宏伟的
magnify|放大, 扩大, 赞美, 夸大
magnitude|巨大, 重大, 重要, 大小, 数量…
maid|少女, 未婚女子, 女仆
maiden|年轻未婚女子, 少女, 处女
mainland|大陆, 本土
maintain|维持, 维修, 保持, 坚持, 供养…
maintenance|维护, 保持, 维修, 生活费用, …
majesty|最高权威, 威严, 王权, 雄伟, 庄严
malignant|有恶意的, 恶性的, 有害的
mammal|哺乳动物
management|经营, 支配, 管理
manager|经理, 管理员, 管理器
mandate|命令, 指令, 要求
manifest|载货单, 运货单, 旅客名单
manipulate|操纵, 利用, 操作, 巧妙地处理,…
manoeuvre|调遣, 演习, 策略
manual|手册, 指南
manufacture|产品, 制造
manuscript|手稿, 原稿, 底稿
marathon|马拉松, 耐力的考验
marble|大理石, 石弹, 雕刻品
margin|页边的空白, 边缘, 界限, 余裕,…
marginal|边缘的, 最低限度的, 有旁注的
marine|舰队, 水兵, 海景画
marital|丈夫的, 婚姻的, 夫妇间的
mark|标志, 分数, 马克, 痕迹, 斑点…
marry|与...结婚, 娶, 嫁
marvelous|令人惊异的, 了不起的, 不平常的
Marxist|马克思主义的
masculine|阳性, 男性
massacre|大屠杀
massive|大而重的, 宽大的, 宏伟的
masterpiece|杰作, 名著
mate|配偶, 对手, 助手, (象棋)将死
mathematical|数学的, 精确的
mature|成熟的, 到期的, 充分考虑的
maximum|极点, 最大量, 极大
maybe|也许, 大概
meadow|草地, 牧场
meaning|意义, 含义, 目的, 意图
means|方法, 手段, 工具, 财产, 收入
meantime|间隔时间, 其时
mechanic|机械工, 技工
mechanical|机械的, 机械性的, 力学的
mechanism|机械, 机构, 结构, 机理, 技巧
media|媒体
mediate|居间的, 间接的
medieval|中古的, 中世纪的
meditation|沉思, 冥想
medium|媒体, 方法, 媒介
meeting|会议, 会面
melody|曲子, 美妙音乐, 曲调
melon|瓜, 甜瓜, 红利, 赃物
melt|熔化, 熔化物, 溶解
member|成员, 会员
membership|会员的资格, 全体会员, 会员数目
memorandum|备忘录, 外交备忘录, 交易备忘录
memorial|纪念物, 请愿书
memory|记忆, 记忆力, 回忆, 纪念, 存储
menace|威胁, 胁迫
mend|改进, 修补, 好转
mentor|指导者, 良师益友
merchandise|商品, 货物
mercury|水银, 汞, 使者
mercy|仁慈, 宽恕, 慈悲, 怜悯, 幸运
mere|小湖, 池塘
