robust|健康的, 强健的, 要用力气的, 坚…
scratch|抓痕, 搔, 抓, 擦伤, 刮擦声,…
screw|螺旋, 螺杆, 螺钉, 螺旋桨, 吝啬鬼
script|手迹, 手稿, 正本, 手写体
scrutiny|细看, 仔细检查, 监视, 选票检查
seam|缝合线, 衔接口, 接缝, 线缝, 伤疤
season|季节, 时节, 当令期, 时期
seat|座, 座位, 位子, 席位, 所在地
secondary|中级的, 中等的, 次要的, 第二的…
section|区段, 部分, 区域, 节, 截面,…
sector|扇形, 部门, 部分, 函数尺, 象…
secure|无虑的, 安心的, 安全的, 可靠的…
security|安全, 安全性, 防护物, 保安, …
seemingly|看来似乎, 表面上看来
segment|片段, 部分, 分节, 段
segregate|分离的, 被隔离的
selection|选择, 选文, 精选品
sell|卖, 背叛, 销售, 出卖
semester|学期
semiconductor|半导体
senate|参议院, 立法机构, 评议会
senator|参议员, (某些大学的)理事
senior|年长者, 资深者, 毕业班学生
sensation|感觉, 轰动
sensible|有感觉的, 敏感的, 明智的
sensitive|敏感的, 易感的, 灵敏的, 感光的
sentiment|感情, 感伤, 情操, 情绪, 感想…
sequence|序列, 续发事件, 顺序, 连续
serial|分期连载作品, 连载小说
series|串联, 序列, 连续, 系列, 丛书…
setback|挫折, 退步, 逆流
setting|环境, 背景, 布景, 镶嵌, 调整…
settlement|安顿, 解决, 处理, 结算, 殖民…
several|几个的, 一些的, 各自的
severe|严格的, 尖锐的, 严肃的, 严重的…
shabby|衣衫褴褛的, 低劣的, 破旧的, 吝…
shaft|轴, 箭杆, 矛, 矿井
shake|摇动, 震动
shallow|水浅的地方, 浅滩
shampoo|洗头, 洗发剂
shape|形状, 形态, 外形, 形式, 身材
share|部分, 参与, 一份, 参股, 份额
shark|鲨鱼, 骗子
sharp|半升音调, 利刃, 骗子
shatter|碎片, 粉碎, 落叶, 喷洒
shear|修剪, 剪下的东西, 大剪刀, 切变…
shed|车棚, 小屋, 脱落之物, 分水岭
sheep|羊, 胆小者
sheer|绝对的, 全然的, 纯粹的, 透明的…
shelter|庇护所, 避难所, 庇护, 隐蔽处,…
shepherd|牧羊人, 牧羊犬, 牧师, 保护者
shield|盾, 防卫物, 保护者, 屏蔽
shift|变化, 移动, 轮班, 手段, 应急…
shipment|装船, 出货
shirt|衬衫, 内衣, 汗衫
shiver|颤抖, 哆嗦, 被打碎
shoe|鞋, 靴, 外胎
shortage|不足, 缺乏
shorthand|速记
shout|呼喊, 喊声
shove|推, 挤
shrewd|精明的, 锐利的, 剧烈的, 机灵的…
shrink|收缩, 萎缩, 回避
shrug|耸肩
shutter|百叶窗, 关闭物, 照相机快门, 关闭者
shuttle|穿梭, 梭子, 往返移动之物
sibling|兄弟, 同胞
sideways|向旁边, 向侧面地
siege|包围, 围攻, 再三的努力
sigh|叹息
sightseeing|观光, 游览
significant|重要的, 有效的, 有含义的, 暗示…
signify|象征, 预示
silent|沉默的, 安静的, 无声的, 静止的
silicon|硅
silk|丝, 绸, 绸锻类, 丝织品
silly|愚蠢的, 糊涂的
simplicity|单纯, 简朴, 朴素, 坦率, 天真
simplify|单一化, 简单化
simply|简单地, 只是, 简直, 简朴地, …
simulate|模拟, 假装, 模仿
simultaneous|同时的, 同时发生的
sincere|诚实的, 正直的, 真挚的, 纯净的
sing|唱, 唱歌, 演唱, 鸣, 啼
singular|单数
siren|女海妖, 妖女, 警报器, 汽笛, …
site|位置, 场所, 地点
situate|使位于, 使处于
skeleton|骨骼, 骨瘦如柴的人, 梗概, 骨干…
sketch|素描, 草图, 小品
skilful|灵巧的, 熟练的, 制作精巧的
skilled|熟练的
skim|撇取浮沫, 略读, 掠过
skip|跳跃, 跳读
skull|头盖骨, 头脑, 好学生
skyscraper|摩天楼, 三角形天帆
slack|松弛, 松懈, 淡季, 闲散, 家常裤
slam|砰然声, 猛然, 猛烈的抨击
slap|掴, 掌击, 侮辱, 拍击声
slaughter|残杀, 屠杀, 杀戮
slender|苗条的, 纤弱的, 微少的, 微薄的
slice|薄的切片, 一部分, 菜刀
slipper|拖鞋, 制轮器
slippery|滑的, 光滑的, 靠不住的, 圆滑的…
slogan|呐喊声, 标语, 口号
slope|倾斜, 斜坡, 斜率, 扛枪姿势
slot|水沟, 细长孔, 硬币投币口, 缝,…
slum|贫民窟
slump|暴跌, 垂头弯腰的姿态
smash|打碎, 粉碎, 打碎时哗啦声, 猛击…
smog|烟雾
smuggle|偷运, 走私, 私运
snack|小吃, 点心, 快餐
snap|使突然中断, 猛咬, 争夺, 拉断,…
snatch|抢夺, 攫取, 片断
sneak|鬼鬼祟祟做事
sniff|以鼻吸气, 嗅, 气息
snobbish|自命不凡的, 势利的
so-called|所谓的, 号称的
soak|浸, 湿透, 大雨
soap|肥皂, 阿谀
soar|高扬, 翱翔
sober|未醉的, 稳重的, 节制的, 严肃的…
sociable|好交际的, 社交的, 过社会生活的
sociology|社会学
soda|苏打, 碳酸水
software|软件
solar|太阳的, 日光的, 源自太阳的
soldier|军人, 士兵, 兵蚁
sole|脚掌, 鞋底, 底部
solemn|严肃的, 郑重的, 庄严的
solidarity|团结, 团结一致, 共同一致
solitary|独居者
solo|独奏, 独唱, 单独表演
soluble|溶解的, 可溶解的, 可以解决的
solution|解决, 解答, 溶液
sometime|以前的, 某一时间的
sometimes|有时, 时常, 往往
somewhat|某物, 几分
somewhere|到某处, 在某处
song|歌, 曲, 鸣声, 歌唱, 歌曲, 诗歌
soon|不久, 早, 快, 宁可
sophisticated|复杂的, 久经世故的
sophomore|(大学)二年级生
sore|悲伤的, 痛的, 引起痛苦的
sorry|难过的, 悲哀的, 遗憾的
sound|声音, 语音, 吵闹, 声调, 听力…
source|来源, 水源, 根源, 原始资料, 源
sovereign|元首, 独立国
space|位置, 空间, 距离, 太空, 空白…
spacecraft|航天飞船
spacious|广大的, 宽广的
span|指距, 全长, 跨距, 一段时间, …
spark|火花, 火星, 闪光, 无线电报务员…
sparkle|闪耀, 火花, 活力, 发泡
speaker|说话人, 讲演者, 发言人, 喇叭,…
spear|矛, 枪, 持矛者, 嫩枝
specialise|特加指明, 列举, 使专门化, 限定…
specialist|专门医师, 专家
speciality|专长, 擅长, 特种技能, 详细说明…
species|种, 类, 外形
specific|特效药, 特性
specification|规格, 详述, 详细说明书
specify|详列, 指定, 说明
specimen|样品, 标本, 试料
spectacle|引人羡慕的东西, 景象, 眼镜, 场…
spectacular|公开展示的, 惊人的, 壮观的
spectator|观众, 目击者, 旁观者
spectrum|光谱, 范围, 系列
speculate|深思, 推测, 投机
speed|速率, 速度, 迅速
sphere|球, 球面, 球体, 天体, 地球仪…
spicy|香的, 多香料的, 辛辣的, 下流的
spider|蜘蛛, 设圈套者
spill|溢出, 溅出, 摔下, 溢出量, 木…
spin|旋转, 自旋, 疾驰, 情绪低落
spine|背骨, 脊柱, 尖刺
spiral|螺旋形之物, 螺线
spiritual|精神上的, 神圣的, 崇高的, 高尚…
spite|恶意, 怨恨, 使人烦恼的事物
splash|飞溅, 污点, 一点儿, 溅泼声, 色斑
spoil|战利品, 赃物, 奖品, 变质, 次品
spokesman|发言人, 代言者
sponge|海绵, 海绵状的东西
sponsor|保证人, 赞助者, 发起者, 倡议者…
spontaneous|自然的, 自发的, 未经琢磨的
sport|运动, 游戏, 娱乐, 消遣, 玩笑
sportsman|运动员, 冒险家
