promise|诺言, 约定的事情, 有指望
rigid|坚硬的, 刚性的, 严格的, 精密的…
rigorous|严厉的, 严酷的, 严格的, 苛刻的…
ring|环, 环形物, 拳击场, 戒指, 角…
riot|暴动, 喧闹, 放纵
risk|冒险, 危险, 保险额
ritual|仪式, 典礼, 宗教仪式
rival|对手, 竞争者
roar|吼, 咆哮, 轰鸣
robe|宽松长袍, 礼服, 披肩, 覆盖物
robot|机械人, 自动机械, 机械般工作的人
